id,Prov,trade good ,latent trade good,tax,prod,manpower,terrain,Center of Trade,Local Airport,Airport,Border Crossing,Mountain Pass,Isthmus,River Tributary,River Estruary
411,Olszowka,0,0,1,1,1,Farmlands,,,,,,,,
412,Ahvaz,Livestock,0,1,1,1,Farmlands,,,,,,,,
413,Krzyzanow,Grain,0,1,1,1,Farmlands,,,,,,,,
414,Sieradz,Metalworking,0,1,1,2,Grasslands,,,,,,,,
415,Peczniew,0,0,1,1,1,Grasslands,,,,,,,,
416,Zadzim,0,0,1,1,1,Grasslands,,,,,,,,
417,Konopnica,Grain,0,2,1,2,Farmlands,,,,,,,,
418,Stare Miasto,0,0,2,2,2,Grasslands,,,,,,,,
419,Wladyslawow,0,0,1,1,1,Woods,,,,,,,,
420,Mycelin,0,0,1,1,1,Woods,,,,,,,,
421,Cekow-Kolonia,0,0,1,1,1,Grasslands,,,,,,,,
422,Kraszewice,0,0,1,1,1,Woods,,,,,,,,
423,Rusiec,Coal,0,1,1,1,Woods,,,,,,,,
424,Grabow,Vegetables,0,1,1,1,Farmlands,,,,,,,,
425,Ryki,Fruits,0,3,2,3,Farmlands,,,,,,,,
426,City of Zdunska Wola,0,0,5,8,7,Urban,,,,,,,,
427,City of Lowicz,Fruits,0,4,5,4,Grasslands,,,,,,,,
428,Buczek,Mushrooms,0,1,1,1,Grasslands,,,,,,,,
429,Lyszkowice,Fish,0,1,1,1,Grasslands,,,,,,,,
430,Szczawin Koscielny,0,0,1,1,1,Grasslands,,,,,,,,
431,jezow,Vegetables,0,1,1,1,Farmlands,,,,,,,,
432,Slupia,Grain,0,#N/A,#N/A,#N/A,Farmlands,,,,,,,,
433,Ilow,0,0,1,1,1,Farmlands,,,,,,,,
434,Rawa Mazowiecka,0,0,1,1,1,Farmlands,,,,,,,,
435,Zaranj,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
437,Sabine,0,0,1,1,1,Grasslands,,,,,,,,
439,Rudka,Livestock,0,1,1,1,Forest,,,,,,,,
440,Bocki,Vegetables,0,1,1,1,Woods,,,,,,,,
441,Czestochowa,Tourists,0,44,53,39,High Urban,,,,,,,,
442,Domanice,Grain,0,1,1,1,Grasslands,,,,,,,,
443,Ciechanowiec,Lumber,0,1,1,1,Woods,,,,,,,,
444,Skorzec,0,0,1,1,1,Grasslands,,,,,,,,
446,Kocierzew Poludniwoy,Grain,0,1,1,1,Farmlands,,,,,,,,
447,Rzeczyca,0,0,1,1,1,Grasslands,,,,,,,,
448,Bialobrzegi,0,0,1,1,1,Grasslands,,,,,,,,
449,Nowa Sucha,0,0,1,1,1,Farmlands,,,,,,,,
450,Wysmierzyce,Grain,0,1,1,1,Woods,,,,,,,,
451,Sadkowice,0,0,1,1,1,Farmlands,,,,,,,,
452,City of Radzyn Polaski,Metalworking,0,2,3,2,Grasslands,,,,,,,,
453,Kaluszyn,0,0,1,1,1,Grasslands,,,,,,,,
454,Mrozy,0,0,1,1,1,Grasslands,,,,,,,,
455,Dziadkowice,Fur,0,1,1,1,Woods,,,,,,,,
456,Bielsk Podlaski,Grain,0,1,1,1,Farmlands,,,,,,,,
457,Krzywda,Stone,0,1,1,1,Woods,,,,,,,,
458,Stoczek Lukowski,Fruits,0,1,1,1,Farmlands,,,,,,,,
459,Wiazowna,0,0,3,4,2,Grasslands,,,,,,,,
460,City of Stoczek Lukowski,Grain,0,1,1,1,Farmlands,,,,,,,,
461,Grebkow,Apiculture,0,1,1,1,Grasslands,,,,,,,,
462,Szczytniki,0,0,1,1,1,Farmlands,,,,,,,,
463,Grabow nad Pilica,0,0,1,1,1,Forest,,,,,,,,
464,Jablonna,0,0,#N/A,#N/A,#N/A,Forest,,,,,,,,
465,Ulez,Fruits,0,1,1,1,Farmlands,,,,,,,,
466,City of Sochaczew,0,0,5,8,6,Urban,,,,,,,,
467,Halinow,0,0,3,1,3,Grasslands,,,,,,,,
468,lesznowola,0,0,8,7,6,Urban,,,,,,,,
469,Sochaczew,0,0,2,1,2,Grasslands,,,,,,,,
470,Poswietne,0,0,#N/A,#N/A,#N/A,Forest,,,,,,,,
471,Grodek,Fur,0,1,1,1,Forest,,,,,,,,
472,Stanislawow,0,0,1,1,1,Grasslands,,,,,,,,
473,City of Minsk Mazowiecki,0,0,7,7,7,Urban,,,,,,,,
474,Kobylka,0,0,5,2,5,Grasslands,,,,,,,,
475,Ceglow,0,0,1,1,1,Grasslands,,,,,,,,
476,Orla,Grain,0,1,1,1,Farmlands,,,,,,,,
477,Mokobody,0,0,1,1,1,Grasslands,,,,,,,,
478,Bielany,0,0,1,1,1,Grasslands,,,,,,,,
479,Narewka,Lumber,0,1,1,1,Forest,,,,,,,,
480,Czarna Bialostocka,Iron,0,1,1,2,Forest,,,,,,,,
481,Trzycinsko-Zdroj,0,0,1,1,1,Woods,,,,,,,,
482,Poniec,0,0,1,1,1,Farmlands,,,,,,,,
483,Jemielno,Mushrooms,0,1,1,1,Forest,,,,,,,,
484,Trzemeszno,0,0,2,2,2,Farmlands,,,,,,,,
485,Santok,Fruits,0,1,1,1,Grasslands,,,,,,,,
486,Lipiany,0,0,1,1,1,Farmlands,,,,,,,,
487,Krzemieniewo,0,0,1,1,1,Farmlands,,,,,,,,
488,Lubowo,Lumber,0,1,1,1,Farmlands,,,,,,,,
489,City of Gniezno,Glass,0,10,12,12,Urban,,,,,,,,
490,Krzywin,0,0,1,1,1,Farmlands,,,,,,,,
491,Kargowa,Beer,0,1,1,1,Grasslands,,,,,,,,
492,Koscian,0,0,2,2,2,Farmlands,,,,,,,,
493,Brodnica,0,0,#N/A,#N/A,#N/A,Farmlands,,,,,,,,
494,Kiszkowo,Grain,0,1,1,1,Farmlands,,,,,,,,
495,Murwoana Goslina,0,0,2,2,3,Forest,,,,,,,,
496,Czerwonak,0,0,4,5,5,Forest,,,,,,,,
497,Suchy Las,0,0,5,6,3,Woods,,,,,,,,
499,Rokietnica,0,0,#N/A,#N/A,#N/A,Woods,,,,,,,,
500,Dopiewo,0,0,6,4,6,Urban,,,,,,,,
501,Poznan Stare Miasto,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
502,Grebocice,Grain,0,1,1,1,Farmlands,,,,,,,,
503,Jablon,Lumber,0,1,1,1,Woods,,,,,,,,
504,Ostrowek,Amber,0,1,1,1,Farmlands,,,,,,,,
505,Spiczyn,Grain,0,1,1,1,Grasslands,,,,,,,,
506,Chrzanow,Grain,0,1,1,1,Farmlands,,,,,,,,
507,City of Miedzyrec Podlaski,Stone,0,2,3,2,Grasslands,,,,,,,,
508,Wojciechow,Iron,0,1,1,1,Farmlands,,,,,,,,
509,Stara Kornica,0,0,1,1,1,Farmlands,,,,,,,,
510,Janow Podlaski,Horses,0,1,1,1,Farmlands,,,,,,,,
511,Grodzisko Dolne,Triticale,0,1,1,1,Hills,,,,,,,,
512,Bychawa,Iron,0,1,1,2,Farmlands,,,,,,,,
513,Swidnik,Iron,0,#N/A,#N/A,#N/A,Urban,,,,,,,,
514,City of Lubartow,Paper,0,3,5,3,Farmlands,,,,,,,,
515,Gac,Triticale,0,1,1,1,Farmlands,,,,,,,,
516,Podedworze,Grain,0,1,1,1,Farmlands,,,,,,,,
517,Przeworsk,Oil,0,2,1,2,Farmlands,,,,,,,,
518,Siemien,Amber,0,1,1,1,Farmlands,,,,,,,,
519,Piaski,Horses,0,1,1,1,Farmlands,,,,,,,,
520,Radecznica,Apiculture,0,1,1,1,Hills,,,,,,,,
521,Hyze,Ceramics,0,1,1,1,Hills,,,,,,,,
522,City of Bilgoraj,Cloth,0,3,5,4,Farmlands,,,,,,,,
523,Czarna,Lumber,0,#N/A,#N/A,#N/A,Forest,,,,,,,,
524,Wilkolaz,Grain,0,1,1,1,Highlands,,,,,,,,
525,Zakrzew,Grain,0,2,1,2,Farmlands,,,,,,,,
526,Sosnowka,Mushrooms,0,1,1,1,Forest,,,,,,,,
527,Zarzecze,Vegetables,0,1,1,1,Farmlands,,,,,,,,
528,Wohyn,Paper,0,1,1,1,Farmlands,,,,,,,,
529,Milejow,Fruits,0,1,1,1,Grasslands,,,,,,,,
530,Uscimow,Fish,0,1,1,1,Grasslands,,,,,,,,
531,Besko,0,0,1,1,1,Hills,,,,,,,,
532,Cycow,Vegetables,0,1,1,1,Farmlands,,,,,,,,
533,Wiazownica,Mushrooms,0,1,1,2,Woods,,,,,,,,
534,Brzozie,Tourists,0,1,1,1,Grasslands,,,,,,,,
535,Rachanie,Livestock,0,1,1,1,Grasslands,,,,,,,,
536,Dydnia,Wine,0,1,1,1,Hills,,,,,,,,
537,Tyszowice,Vegetables,0,1,1,1,Farmlands,,,,,,,,
538,City of Przasnysz,0,0,2,3,3,Grasslands,,,,,,,,
539,Dorohusk,Vegetables,0,1,1,1,Marsh,,,,,,,,
540,Rozwienica,Stone,0,1,1,1,Woods,,,,,,,,
541,Lesniowice,Fruits,0,1,1,1,Farmlands,,,,,,,,
542,Adamow,Fur,0,#N/A,#N/A,#N/A,Forest,,,,,,,,
543,Siennica Rozana,Hemp,0,1,1,1,Farmlands,,,,,,,,
544,Stary Brus,Grain,0,1,1,1,Farmlands,,,,,,,,
545,Krasnystaw,Dairy,0,1,1,1,Farmlands,,,,,,,,
546,Gorzkow,Sugar,0,1,1,1,Farmlands,,,,,,,,
547,City of Zamosc,Lumber,0,15,12,11,Urban,,,,,,,,
548,Sieniawa,Lumber,0,1,1,1,Forest,,,,,,,,
549,Krasniczyn,Fruits,0,1,1,1,Farmlands,,,,,,,,
551,Tuczna,Horses,0,1,1,1,Farmlands,,,,,,,,
552,Izbica,Chemicals,0,1,1,1,Farmlands,,,,,,,,
554,Trzebownisko,Vegetables,0,4,7,4,Farmlands,,,,,,,,
555,Gorzno,Grain,0,#N/A,#N/A,#N/A,Forest,,,,,,,,
556,Rakszawa,Poultry,0,1,1,1,Grasslands,,,,,,,,
559,Turobin,Grain,0,1,1,1,Farmlands,,,,,,,,
569,Wlodawa,Tourists,0,1,1,1,Forest,,,,,,,,
572,Uchanie,Grain,0,1,1,1,Farmlands,,,,,,,,
575,Trzebieszow,Mushrooms,0,1,1,1,Woods,,,,,,,,
576,Huszlew,0,0,1,1,1,Farmlands,,,,,,,,
577,Bledow,0,0,1,1,1,Farmlands,,,,,,,,
578,Konopnica,0,0,#N/A,#N/A,#N/A,Grasslands,,,,,,,,
710,Goszczyn,Grain,0,1,1,1,Farmlands,,,,,,,,
711,City of Laskarzew,Cloth,0,1,1,1,Grasslands,,,,,,,,
712,Wisniew,0,0,1,1,1,Grasslands,,,,,,,,
713,Grojec,0,0,4,5,4,Farmlands,,,,,,,,
714,Jasionowka,Vegetables,0,1,1,1,Woods,,,,,,,,
715,Piatnica,Dairy,0,1,1,1,Farmlands,,,,,,,,
716,Korycin,Livestock,0,1,1,1,Grasslands,,,,,,,,
718,Karczew,0,0,2,3,2,Grasslands,,,,,,,,
719,Celestynow,0,0,2,1,2,Forest,,,,,,,,
724,Szelkow,0,0,1,1,1,Grasslands,,,,,,,,
727,Wasewo,0,0,1,1,1,Grasslands,,,,,,,,
729,Baboszewo,0,0,1,1,1,Grasslands,,,,,,,,
731,Obryte,0,0,1,1,1,Woods,,,,,,,,
732,Lubowidz,0,0,1,1,1,Forest,,,,,,,,
733,Czerwin,0,0,1,1,1,Grasslands,,,,,,,,
734,Malkina Gorna,0,0,2,1,2,Woods,,,,,,,,
735,Stoczek,0,0,1,1,1,Forest,,,,,,,,
737,Rzekun,0,0,1,1,2,Grasslands,,,,,,,,
738,Radzanow,0,0,#N/A,#N/A,#N/A,Grasslands,,,,,,,,
739,City of Siedlice,0,0,17,18,14,Urban,,,,,,,,
740,Parczew,Glass,0,2,2,2,Farmlands,,,,,,,,
741,Bojadla,Fish,0,1,1,1,Woods,,,,,,,,
742,Wschowa,Vegetables,0,2,2,3,Farmlands,,,,,,,,
743,Cybinka,Vegetables,0,1,1,1,Woods,,,,,,,,
744,Gubin,Wool,0,1,1,1,Woods,,,,,,,,
745,Lubsko,Vegetables,0,2,1,3,Farmlands,,,,,,,,
746,Lipinki Luzyckie,Livestock,0,1,1,1,Woods,,,,,,,,
747,Przewoz,Lumber,0,1,1,1,Forest,,,,,,,,
748,Weliniec,Lumber,0,1,1,1,Forest,,,,,,,,
749,Lwowek Slaski,Beer,0,2,2,3,Farmlands,,,,,,,,
750,Pielgrzymka,Grain,0,1,1,1,Farmlands,,,,,,,,
751,Zagrodno,Grain,0,1,1,1,Farmlands,,,,,,,,
752,Boleslawiec,Tourists,0,2,1,2,Forest,,,,,,,,
753,Szklarska Poreba,Tourists,0,1,1,1,Mountain,,,,,,,,
754,Stara Kamienica,Tourists,0,1,1,1,Highlands,,,,,,,,
755,Piechowice,Glass,0,1,1,1,Highlands,,,,,,,,
756,Jezow,Tourists,0,1,1,1,Highlands,,,,,,,,
757,Wlen,Mushrooms,0,1,1,1,Woods,,,,,,,,
758,Karpacz,Tourists,0,1,1,1,Mountain,,,,,,,,
759,City of Luban,Cloth,0,3,3,3,Urban,,,,,,,,
760,Mirsk,Wool,0,1,1,1,Farmlands,,,,,,,,
761,Swieradow-Zdroj,Tourists,0,#N/A,#N/A,#N/A,Highlands,,,,,,,,
762,Lubawka,Cloth,0,1,1,1,Highlands,,,,,,,,
763,Czarny Bor,Stone,0,1,1,1,Hills,,,,,,,,
764,City of Kamienna Gora,Cloth,0,2,3,3,Hills,,,,,,,,
765,Olszyna,Lumber,0,1,1,1,Farmlands,,,,,,,,
766,Zlotoryja,Stone,0,1,1,1,Woods,,,,,,,,
767,Rypin,0,0,1,1,1,Grasslands,,,,,,,,
768,Chocianow,Iron,0,1,1,2,Woods,,,,,,,,
769,Mecinka,Iron,0,1,1,1,Farmlands,,,,,,,,
770,Paslek,Dairy,0,2,2,3,Grasslands,,,,,,,,
771,Milakowo,Fish,0,1,1,1,Floodplains,,,,,,,,
772,Msciwoj,Grain,0,1,1,1,Farmlands,,,,,,,,
773,Jawor,Iron,0,3,4,3,Urban,,,,,,,,
774,Goscieradow,Lumber,0,1,1,1,Woods,,,,,,,,
775,Stare Bogaczowice,Livestock,0,1,1,1,Hills,,,,,,,,
776,Mieroszow,Wool,0,1,1,1,Hills,,,,,,,,
777,Strzegom,Stone,0,4,3,4,Grasslands,,,,,,,,
778,Duszniki-Zdroj,Paper,0,#N/A,#N/A,#N/A,Highlands,,,,,,,,
779,Miedzylesie,Lumber,0,1,1,1,Hills,,,,,,,,
780,Stronie Slaskie,Glass,0,1,1,1,Highlands,,,,,,,,
781,Stoszkowice,Grain,0,1,1,1,Farmlands,,,,,,,,
782,Dzierzoniow,Vegetables,0,1,1,1,Farmlands,,,,,,,,
783,Pilawa Gorna,Stone,0,1,1,1,Farmlands,,,,,,,,
784,Kunice,Fish,0,1,1,1,Grasslands,,,,,,,,
785,Milkowice,Fish,0,1,1,1,Woods,,,,,,,,
786,Bardo,Tourists,0,1,1,1,Hills,,,,,,,,
787,Jordanow Slaski,Grain,0,1,1,1,Farmlands,,,,,,,,
788,Borzecin,Vegetables,0,1,1,1,Farmlands,,,,,,,,
789,Poronin,Oscypek,0,1,1,2,Mountain,,,,,,,,
790,City of Nowa Ruda,Coal,0,3,2,3,Urban,,,,,,,,
791,Strzelin,Stone,0,3,3,4,Farmlands,,,,,,,,
792,Katy Wrocaawskie,Iron,0,5,8,5,Grasslands,,,,,,,,
793,Nowe Miasteczko,Grain,0,1,1,1,Farmlands,,,,,,,,
794,Kobierzyce,Chemicals,0,8,21,4,Farmlands,,,,,,,,
795,Rudna,Copper,0,2,1,1,Woods,,,,,,,,
796,Nowogrod Bobrzanski,Vegetables,0,1,1,1,Woods,,,,,,,,
797,Kozuchow,Livestock,0,2,1,2,Farmlands,,,,,,,,
798,Mucharz,Tourists,0,1,1,1,Hills,,,,,,,,
799,Walim,Iron,0,#N/A,#N/A,#N/A,Hills,,,,,,,,
800,Bobrowice,Mushrooms,0,1,1,1,Forest,,,,,,,,
801,Gaworzyce,Grain,0,1,1,1,Farmlands,,,,,,,,
802,Sulechow,Wool,0,4,3,4,Woods,,,,,,,,
803,Dabie,Lumber,0,1,1,1,Forest,,,,,,,,
804,Torzym,Livestock,0,1,1,1,Forest,,,,,,,,
805,Rzepin,Fur,0,2,1,1,Forest,,,,,,,,
806,Krzeszyce,Livestock,0,1,1,1,Woods,,,,,,,,
807,Witnica,Beer,0,2,1,2,Woods,,,,,,,,
808,Kostrzyn nad Odra,Paper,0,3,4,3,Woods,,,,,,,,
809,Lubniewice,Cloth,0,1,1,1,Forest,,,,,,,,
810,Lagow,Tourists,0,1,1,1,Forest,,,,,,,,
811,Lubrza,Tourists,0,1,1,1,Forest,,,,,,,,
812,Skwierzyna,Lumber,0,2,1,2,Forest,,,,,,,,
813,Sierakow,0,0,1,1,1,Forest,,,,,,,,
814,Miedzyrzecz,Cloth,0,3,4,4,Urban,,,,,,,,
815,Pszczew,Wine,0,1,1,1,Woods,,,,,,,,
816,Babimost,Wine,0,1,1,1,Farmlands,,,,,,,,
817,Trzebiechow,Wool,0,1,1,1,Farmlands,,,,,,,,
818,Zabor,Wine,0,1,1,1,Farmlands,,,,,,,,
819,Slawa,Tourists,0,2,2,2,Woods,,,,,,,,
820,City of Nowa Sol,Iron,0,6,8,6,Urban,,,,,,,,
821,Trzciel,Lumber,0,1,1,1,Forest,,,,,,,,
822,Bytom Odranski,Lumber,0,1,1,1,Grasslands,,,,,,,,
823,Kamieniec,0,0,1,1,1,Grasslands,,,,,,,,
824,Smigiel,0,0,2,2,3,Farmlands,,,,,,,,
825,Lwowek,0,0,1,1,1,Farmlands,,,,,,,,
826,Oborniki,0,0,5,5,6,Urban,,,,,,,,
827,City of Obrzycko,Grain,0,1,1,1,Grasslands,,,,,,,,
828,Czempin,0,0,1,1,2,Farmlands,,,,,,,,
829,Srem,Copper,0,7,7,8,Urban,,,,,,,,
830,Pniewy,Lumber,0,#N/A,#N/A,#N/A,Farmlands,,,,,,,,
831,Kolsko,Mushrooms,0,1,1,1,Woods,,,,,,,,
832,Steszew,0,0,2,3,2,Grasslands,,,,,,,,
833,Koscielisko,Tourists,0,1,1,1,Mountain,,,,,,,,
834,Rakoniewice,0,0,2,1,2,Woods,,,,,,,,
835,Wasosz,Lumber,0,1,1,1,Forest,,,,,,,,
836,Krobia,0,0,2,1,2,Farmlands,,,,,,,,
837,Ssroda Wielkopolska,Sugar,0,5,7,6,Urban,,,,,,,,
838,Kobylin,0,0,1,1,1,Farmlands,,,,,,,,
839,Brzeg Dolny,Chemicals,0,2,3,3,Grasslands,,,,,,,,
840,Borek Wielkopolski,0,0,1,1,1,Farmlands,,,,,,,,
841,Zduny,0,0,#N/A,#N/A,#N/A,Woods,,,,,,,,
842,PetĂÂ©n,Cloth,0,4,4,4,Farmlands,,,,,,,,
843,Milcz,Fish,0,4,3,4,Urban,,,,,,,,
844,Zawonia,Livestock,0,1,1,1,Woods,,,,,,,,
845,Rozdrazew,0,0,1,1,1,Farmlands,,,,,,,,
846,Nekla,0,0,1,1,1,Farmlands,,,,,,,,
847,Zerkow,0,0,1,1,1,Farmlands,,,,,,,,
848,Domaniow,Grain,0,1,1,1,Farmlands,,,,,,,,
849,Pyzdry,0,0,1,1,1,Woods,,,,,,,,
850,Slupca,0,0,1,1,1,Farmlands,,,,,,,,
851,City of Olawa,Iron,0,5,7,6,Urban,,,,,,,,
852,Olesnica,Vegetables,0,2,1,2,Farmlands,,,,,,,,
853,Wiazow,Grain,0,1,1,1,Farmlands,,,,,,,,
854,Olszanka,Grain,0,#N/A,#N/A,#N/A,Grasslands,,,,,,,,
855,Prudnik,Iron,0,4,3,4,Urban,,,,,,,,
856,Skoroszyce,Grain,0,1,1,1,Grasslands,,,,,,,,
857,Glucholazy,Tourists,0,3,2,4,Hills,,,,,,,,
858,Lubrza,Grain,0,#N/A,#N/A,#N/A,Farmlands,,,,,,,,
859,Niemodlin,Livestock,0,2,1,2,Farmlands,,,,,,,,
860,Lewin Brzeski,Glass,0,2,1,2,Woods,,,,,,,,
861,Grodziec,0,0,1,1,1,Woods,,,,,,,,
949,Regnow,Grain,0,1,1,1,Farmlands,,,,,,,,
950,Cielaadz,0,0,1,1,1,Farmlands,,,,,,,,
952,City of SkĂłrcz,0,0,1,1,1,Farmlands,,,,,,,,
953,Zabludow,Fur,0,1,1,1,Woods,,,,,,,,
954,City of Ostroda,Naval supplies,0,4,6,5,Floodplains,,,,,,,,
955,Myszkow,0,0,4,4,5,Urban,,,,,,,,
956,Porabka,0,0,2,2,2,Forest,,,,,,,,
957,Gieraltowice,0,0,2,1,2,Farmlands,,,,,,,,
958,Nedza,0,0,1,1,1,Forest,,,,,,,,
959,Tulowice,Iron,0,1,1,1,Forest,,,,,,,,
962,Jozefow,0,0,#N/A,#N/A,#N/A,Forest,,,,,,,,
963,Pilawa,Chemicals,0,1,1,1,Woods,,,,,,,,
964,Purda,Cattle,0,1,1,1,Farmlands,,,,,,,,
966,Zaleszany,0,0,1,1,2,Hills,,,,,,,,
967,Janowiec,Stone,0,1,1,1,Grasslands,,,,,,,,
968,Garbow,Vodka,0,1,1,1,Farmlands,,,,,,,,
969,Lublin Stare Miasto,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
971,Dubienka,Grain,0,1,1,1,Grasslands,,,,,,,,
972,Plock,Sulfur,0,31,32,21,Urban,,,,,,,,
973,Dabrowa Biskupia,0,0,1,1,1,Farmlands,,,,,,,,
974,Nieszawa,Grain,0,1,1,1,Farmlands,,,,,,,,
976,Rosciszewo,0,0,1,1,1,Grasslands,,,,,,,,
977,Lutocin,0,0,1,1,1,Grasslands,,,,,,,,
978,City of Ciechanow,Iron,0,7,8,7,Urban,,,,,,,,
979,Sypniewo,0,0,1,1,1,Grasslands,,,,,,,,
980,Perlejewo,Grain,0,1,1,1,Farmlands,,,,,,,,
981,Ostrow Mazowiecka,0,0,3,5,4,Grasslands,,,,,,,,
982,Warlubie,0,0,1,1,1,Forest,,,,,,,,
983,Lubasz,Fruits,0,1,1,1,Forest,,,,,,,,
984,Tuchomie,0,0,1,1,1,Grasslands,,,,,,,,
985,Hel,Tourists,0,1,1,1,Coastline,,,,,,,,
986,Jastarnia,Tourists,0,1,1,1,Coastline,,,,,,,,
987,Kolbudy,0,0,4,2,3,Woods,,,,,,,,
988,Tolkmicko,Fish,0,1,1,1,Coastline,,,,,,,,
990,Kowiesy,Fruits,0,1,1,1,Farmlands,,,,,,,,
991,Fajslawice,Fruits,0,1,1,1,Farmlands,,,,,,,,
992,Biala Piska,Stone,0,1,1,1,Marsh,,,,,,,,
993,Wabrzezno,Vegetables,0,2,2,2,Grasslands,,,,,,,,
994,Koscierzyna,Tourists,0,3,2,3,Grasslands,,,,,,,,
995,City of Szczytno,Vegetables,0,3,4,4,Floodplains,,,,,,,,
996,Stawiguda,Cattle,0,2,1,2,Woods,,,,,,,,
997,Raczki,Vegetables,0,1,1,1,Farmlands,,,,,,,,
999,Gronowo Elblaskie,Dairy,0,1,1,1,Farmlands,,,,,,,,
1000,Mietkow,Stone,0,1,1,1,Grasslands,,,,,,,,
1001,Dziadowa Kloda,Livestock,0,1,1,1,Farmlands,,,,,,,,
1002,Leknica,Tourists,0,1,1,1,Forest,,,,,,,,
1003,Wloszakowice,0,0,1,2,1,Woods,,,,,,,,
1004,City of Glogow,Copper,0,11,11,11,Urban,,,,,,,,
1005,Niechlow,Grain,0,1,1,1,Farmlands,,,,,,,,
1006,Gorzow Wielkopolski,Sulfur,0,25,27,21,High Urban,,,,,,,,
1007,Gojijiwininiwag,0,0,4,3,4,Hills,,,,,,,,
1008,Warka,Beer,0,2,1,3,Farmlands,,,,,,,,
1009,Starachowice,Iron,0,7,12,8,Urban,,,,,,,,
1010,Praga Poludnie,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1011,Praga Polnoc,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1012,Dzialdowo,Dairy,0,1,1,1,Farmlands,,,,,,,,
1013,Troszyn,0,0,1,1,1,Grasslands,,,,,,,,
1014,Zaluski,0,0,1,1,1,Farmlands,,,,,,,,
1015,City of Dzialdowo,Glass,0,3,5,3,Farmlands,,,,,,,,
1016,Ochota,0,0,#N/A,#N/A,#N/A,Urban,,,,,,,,
1017,Nowy Dwor Mazowiecki,0,0,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1018,Pokrzywnica,0,0,1,1,1,Grasslands,,,,,,,,
1019,Miedzna,0,0,2,1,3,Grasslands,,,,,,,,
1020,Gzy,0,0,1,1,1,Grasslands,,,,,,,,
1021,Settsu,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
1023,Ojrzen,Fruits,0,1,1,1,Woods,,,,,,,,
1024,Biezun,0,0,1,1,1,Grasslands,,,,,,,,
1025,Zatory,0,0,1,1,1,Woods,,,,,,,,
1026,Sonsk,Iron,0,1,1,1,Grasslands,,,,,,,,
1027,Lipowiec Koscielny,0,0,1,1,1,Woods,,,,,,,,
1028,Wisniewo,0,0,1,1,1,Grasslands,,,,,,,,
1029,Ciechanow,Beer,0,1,1,1,Grasslands,,,,,,,,
1030,Mlawa,0,0,5,7,5,Urban,,,,,,,,
1031,Sniadowo,Stone,0,1,1,1,Farmlands,,,,,,,,
1032,Szepietowo,Grain,0,1,1,1,Farmlands,,,,,,,,
1033,Miastkowo,Lumber,0,1,1,1,Woods,,,,,,,,
1034,City of Nowy Targ,Oscypek,0,5,7,6,Urban,,,,,,,,
1035,Nowy Targ,Fur,0,4,1,4,Hills,,,,,,,,
1036,Kolno,Grain,0,1,1,1,Farmlands,,,,,,,,
1037,City of Kolno,Grain,0,1,1,1,Farmlands,,,,,,,,
1038,Szaflary,Oscypek,0,2,1,2,Highlands,,,,,,,,
1039,Stawiski,Grain,0,1,1,1,Farmlands,,,,,,,,
1040,Przytuly,Grain,0,1,1,1,Farmlands,,,,,,,,
1041,Jedwabne,Sulfur,0,1,1,1,Farmlands,,,,,,,,
1042,Jednorozec,0,0,1,1,1,Forest,,,,,,,,
1043,Olszewo-Borki,0,0,#N/A,#N/A,#N/A,Forest,,,,,,,,
1044,Lelis,0,0,1,1,1,Woods,,,,,,,,
1045,Wysokie Mazowieckie,Dairy,0,1,1,1,Farmlands,,,,,,,,
1046,Krasnosielec,0,0,1,1,1,Woods,,,,,,,,
1047,Ploniawy-Bramura,0,0,#N/A,#N/A,#N/A,Grasslands,,,,,,,,
1048,Wieczfina Koscielna,0,0,1,1,1,Grasslands,,,,,,,,
1049,Rozan,0,0,1,1,1,Woods,,,,,,,,
1050,Dzierzgowo,0,0,1,1,1,Woods,,,,,,,,
1051,Janowiec Koscielny,Barley,0,1,1,1,Grasslands,,,,,,,,
1052,Boguty-Pianki,0,0,#N/A,#N/A,#N/A,Grasslands,,,,,,,,
1054,Turosn Koscielna,Grain,0,1,1,1,Farmlands,,,,,,,,
1055,Poswietne,Grain,0,#N/A,#N/A,#N/A,Farmlands,,,,,,,,
1056,Nowogrod,Fur,0,1,1,1,Floodplains,,,,,,,,
1057,Lomza,Beer,0,2,1,2,Farmlands,,,,,,,,
1058,City of Lomza,Beer,0,12,10,11,Urban,,,,,,,,
1059,Tykocin,Dairy,0,1,1,1,Floodplains,,,,,,,,
1060,Wyszki,Vegetables,0,1,1,1,Woods,,,,,,,,
1061,Trzczianne,Fur,0,1,1,1,Marsh,,,,,,,,
1062,Kobylin-Borzymy,Vegetables,0,#N/A,#N/A,#N/A,Farmlands,,,,,,,,
1063,Suraz,Apiculture,0,1,1,1,Floodplains,,,,,,,,
1064,Juchnowiec-Koscielny,Stone,0,2,3,3,Farmlands,,,,,,,,
