id,Prov,trade good ,latent trade good,tax,prod,manpower,terrain,Center of Trade,Local Airport,Airport,Border Crossing,Mountain Pass,Isthmus,River Tributary,River Estruary,Satellite City,Training Area
914,Jezioro BeĹ‚dany,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
915,Jezioro Guzianki,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
916,Jezioro Nidzkie,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
917,Jezioro Nidzkie,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
918,Jezioro Nidzkie,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
919,Jezioro Wiartel,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
920,Jezioro Brzozolasek,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
921,Rybnica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
922,Jezioro Pogubie Wielkie,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
923,Rybnica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
924,Rybnica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
925,Jezioro MikoĹ‚ajskie,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
926,Jezioro RyĹ„skie,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
927,Jezioro TaĹ‚ty,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
928,Pisa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
929,Jezioro Szymoneckie,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
930,Jezioro Niegocin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
931,KanaĹ‚ GiĹĽycki,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
932,Jezioro Dobskie,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
933,Jezioro Kisajno,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
934,Jezioro Dargin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
935,Wieprz,Maize,0,#N/A,#N/A,#N/A,Farmlands,,,,,,,,,,
936,Wieprz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
937,Wieprz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
938,Wieprz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
939,Wieprz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
940,Wieprz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
941,Wieprz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
942,Wieprz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
943,Wieprz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
944,Wieprz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
945,Wieprz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
946,Wieprz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
947,Wieprz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
948,Wieprz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
949,Regnow,Maize,0,1,1,1,Farmlands, , , , , , , , ,,
950,Cielaadz,0,0,1,1,1,Farmlands, , , , , , , , ,,
951,Wieprz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
952,City of SkĂłrcz,Triticale,0,1,1,1,Farmlands, , , , , , , , ,,
953,Zabludow,Fur,0,1,1,1,Woods, , , , , , , , ,,
954,City of Ostroda,Naval supplies,0,4,6,5,Floodplains,1, , , , , , , ,,
955,Myszkow,0,0,4,4,5,Urban, , , , , , , , ,,
956,Porabka,0,0,2,2,2,Forest, , , , , , , , ,,
957,Gieraltowice,0,0,2,1,2,Farmlands, , , , , , , , ,,
958,Nedza,0,0,1,1,1,Forest, , , , , , , , ,,
959,Tulowice,Iron,0,1,1,1,Forest, , , , , , , , ,,
960,Wieprz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
961,Wieprz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
962,Jozefow,0,0,#N/A,#N/A,#N/A,Forest, , , , , , , , ,,
963,Pilawa,Chemicals,0,1,1,1,Woods, , , , , , , , ,,
964,Purda,Cattle,0,1,1,1,Farmlands, , , , , , , , ,,
965,Wieprz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
966,Zaleszany,Triticale,0,1,1,2,Hills, , ,1, , , , , ,,
967,Janowiec,Stone,0,1,1,1,Grasslands, , , , , , , , ,,
968,Garbow,Vodka,0,1,1,1,Farmlands, , , , , , , , ,,
969,Lublin Stare Miasto,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
970,Wieprz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
971,Dubienka,Wheat,0,1,1,1,Grasslands, , , , , , , , ,,
972,Plock Stare Miasto,0, ,2,2,1,Grasslands,3, , , , , , , ,,
973,Dabrowa Biskupia,0,0,1,1,1,Farmlands, , , , , , , , ,,
974,Nieszawa,Barley,0,1,1,1,Farmlands, , , , , , , , ,,
975,Wieprz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
976,Rosciszewo,0,0,1,1,1,Grasslands, , , , , , , , ,,
977,Lutocin,0,0,1,1,1,Grasslands, , , , , , , , ,,
978,City of Ciechanow,Iron,0,7,8,7,Urban,1, , , , , , , ,,
979,Sypniewo,0,0,1,1,1,Grasslands, , , , , , , , ,,
980,Perlejewo,Triticale,0,1,1,1,Farmlands, , , , , , , , ,,
981,Ostrow Mazowiecka,0,0,3,5,4,Grasslands,1, , , , , , , ,,
982,Warlubie,0,0,1,1,1,Forest, , , , , , , , ,,
983,Lubasz,Fruits,0,1,1,1,Forest, , , , , , , , ,,
984,Tuchomie,Triticale,0,1,1,1,Grasslands, , , , , , , , ,,
985,Zazamcze,Tourists,0,1,1,1,Coastline, , , , , , , , ,,
986,Jastarnia,Salt,0,1,1,1,Coastline, ,1, , , , , , ,,
987,Kolbudy,Beer,0,4,2,3,Woods, , , , , , , , ,,
988,Tolkmicko,Fish,0,1,1,1,Coastline, , , , , , , , ,,
989,Wieprz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
990,Kowiesy,Fruits,0,1,1,1,Farmlands, , , , , , , , ,,
991,Fajslawice,Fruits,0,1,1,1,Farmlands, , , , , , , , ,,
992,Biala Piska,Stone,0,1,1,1,Marsh, , , , , , , , ,,
993,Wabrzezno,Vegetables,0,2,2,2,Grasslands, , , , , , , , ,,
994,Koscierzyna,Tourists,0,3,2,3,Grasslands, ,1, , , , , , ,,
995,City of Szczytno,Vegetables,0,3,4,4,Floodplains, , , , , , , , ,,
996,Stawiguda,Cattle,0,2,1,2,Woods, , , , , , , , ,,
997,Raczki,Vegetables,0,1,1,1,Farmlands, , , , , , , , ,,
998,Podgorze Duchackie,Consumer Goods,Software,4,3,5,Urban, , , , , , , , ,,
999,Gronowo Elblaskie,Dairy,0,1,1,1,Farmlands, , , , , , , , ,,
1000,Mietkow,Stone,0,1,1,1,Grasslands, , , , , , , , ,,
1001,Dziadowa Kloda,Cattle,0,1,1,1,Farmlands, , , , , , , , ,,
1002,Leknica,Tourists,0,1,1,1,Forest, , , ,1, , , , ,,
1003,Wloszakowice,0,0,1,2,1,Woods, , , , , , , , ,,
1004,City of Glogow,Copper,0,11,11,11,Urban,1, , , , , , , ,,
1005,Niechlow,Triticale,0,1,1,1,Farmlands, , , , , , , , ,,
1006,Gorzow Wielkopolski Centrum,0, ,3,3,2,Grasslands,2, , , , , , , ,,
1007,Gojijiwininiwag,0,0,4,3,4,Highlands, , , , , , , , ,,
1008,Warka,Beer,0,2,1,3,Farmlands, , , , , , ,1, ,,
1009,Starachowice,Iron,Vehicles,7,12,8,Urban, , , , , , , , ,,
1010,Praga Poludnie,Chemicals, ,6,5,8,High Urban, , , , , , , , ,,
1011,Praga Polnoc,Metalworking,Vehicles,2,2,4,Urban, , , , , , , , ,,
1012,Dzialdowo,Dairy,0,1,1,1,Farmlands, , , , , , , , ,,
1013,Troszyn,0,0,1,1,1,Grasslands, , , , , , , , ,,
1014,Zaluski,0,0,1,1,1,Farmlands, , , , , , , , ,,
1015,City of Dzialdowo,Glass,0,3,5,3,Farmlands, , , , , , , , ,,
1016,Ochota,Consumer Goods, ,5,7,6,Urban, , , , , , , , ,,
1017,Nowy Dwor Mazowiecki,0,0,#N/A,#N/A,#N/A,#N/A, , ,1, , , , , ,,
1018,Pokrzywnica,0,0,1,1,1,Grasslands, , , , , , , , ,,
1019,Miedzna,0,0,2,1,3,Grasslands, , , , , , , , ,,
1020,Gzy,0,0,1,1,1,Grasslands, , , , , , , , ,,
1021,Settsu,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
1022,Wieprz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
1023,Ojrzen,Fruits,0,1,1,1,Woods, , , , , , , , ,,
1024,Biezun,0,0,1,1,1,Grasslands, , , , , , , , ,,
1025,Zatory,0,0,1,1,1,Woods, , , , , , , , ,,
1026,Sonsk,Iron,0,1,1,1,Grasslands, , , , , , , , ,,
1027,Lipowiec Koscielny,0,0,1,1,1,Woods, , , , , , , , ,,
1028,Wisniewo,0,0,1,1,1,Grasslands, , , , , , , , ,,
1029,Ciechanow,Beer,0,1,1,1,Grasslands, , , , , , , , ,,
1030,Mlawa,0,0,5,7,5,Urban,1, , , , , , , ,,
1031,Sniadowo,Stone,0,1,1,1,Farmlands, , , , , , , , ,,
1032,Szepietowo,Maize,0,1,1,1,Farmlands, , , , , , , , ,,
1033,Miastkowo,Lumber,0,1,1,1,Woods, , , , , , , , ,,
1034,City of Nowy Targ,Oscypek,0,5,7,6,Urban,1, , , , , , , ,,
1035,Nowy Targ,Fur,0,4,1,4,Hills, , , , , , , , ,,
1036,Kolno,Wheat,0,1,1,1,Farmlands, , , , , , , , ,,
1037,City of Kolno,Wheat,0,1,1,1,Farmlands, , , , , , , , ,,
1038,Szaflary,Oscypek,0,2,1,2,Highlands, , , , , , , , ,,
1039,Stawiski,Barley,0,1,1,1,Farmlands, , , , , , , , ,,
1040,Przytuly,Barley,0,1,1,1,Farmlands, , , , , , , , ,,
1041,Jedwabne,Sulfur,0,1,1,1,Farmlands, , , , , , , , ,,
1042,Jednorozec,0,0,1,1,1,Forest, , , , , , , , ,,
1043,Olszewo-Borki,0,0,#N/A,#N/A,#N/A,Forest, , , , , , , , ,,
1044,Lelis,0,0,1,1,1,Woods, , , , , , , , ,,
1045,Wysokie Mazowieckie,Dairy,0,1,1,1,Farmlands, , , , , , , , ,,
1046,Krasnosielec,0,0,1,1,1,Woods, , , , , , , , ,,
1047,Ploniawy-Bramura,0,0,#N/A,#N/A,#N/A,Grasslands, , , , , , , , ,,
1048,Wieczfina Koscielna,0,0,1,1,1,Grasslands, , , , , , , , ,,
1049,Rozan,0,0,1,1,1,Woods, , , , , , , , ,,
1050,Dzierzgowo,0,0,1,1,1,Woods, , , , , , , , ,,
1051,Janowiec Koscielny,Barley,0,1,1,1,Grasslands, , , , , , , , ,,
1052,Boguty-Pianki,0,0,#N/A,#N/A,#N/A,Grasslands, , , , , , , , ,,
1053,Wieprz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
1054,Turosn Koscielna,Maize,0,1,1,1,Farmlands, , , , , , , , ,,
1055,Poswietne,Maize,0,#N/A,#N/A,#N/A,Farmlands, , , , , , , , ,,
1056,Nowogrod,Fur,0,1,1,1,Floodplains, , , , , , , , ,,
1057,Lomza,Beer,0,2,1,2,Farmlands, , , , , , , , ,,
1058,ĹomĹĽa Stare Miasto,Consumer Goods, ,4,2,3,Urban,3, , , , , , , ,,
1059,Tykocin,Dairy,0,1,1,1,Floodplains, , , , , , , , ,,
1060,Wyszki,Vegetables,0,1,1,1,Woods, , , , , , , , ,,
1061,Trzczianne,Fur,0,1,1,1,Marsh, , , , , , , , ,,
1062,Kobylin-Borzymy,Vegetables,0,#N/A,#N/A,#N/A,Farmlands, , , , , , , , ,,
1063,Suraz,Apiculture,0,1,1,1,Floodplains, , , , , , , , ,,
1064,Juchnowiec-Koscielny,Stone,0,2,3,3,Farmlands, , , , , , , , ,,
1065,Bialystok Srodmiescie,Consumer Goods, ,8,7,9,Urban,3, , , , , , , ,,
1066,Dobrzyniewo Duze,Dairy,0,1,1,1,Floodplains, , , , , , , , ,,
1067,Jaswily,Vegetables,0,1,1,1,Grasslands, , , , , , , , ,,
1068,Janow,Dairy,0,1,1,1,Farmlands, , , , , , , , ,,
1069,Bulkowo,0,0,1,1,1,Farmlands, , , , , , , , ,,
1070,Sidra,Apiculture,0,1,1,1,Woods, , , , , , , , ,,
1071,Repki,0,0,1,1,1,Grasslands, , , , , , , , ,,
1072,Grunwald,Pigs,0,1,1,1,Grasslands, , , , , , , , ,,
1073,Mala Wies,0,0,1,1,1,Farmlands, , , , , , , , ,,
1074,Mlodzieszyn,0,0,1,1,1,Grasslands, , , , , , ,1, ,,
1075,Tyumen,0,0,1,1,1,Farmlands, ,1, , , , , , ,,
1076,Szudzialowo,Barley,0,1,1,1,Farmlands, , , , , , , , ,,
1077,Punsk,Cattle,0,1,1,1,Woods, , , , , , , , ,,
1078,Wizajny,Fish,0,1,1,1,Grasslands, , , , , , , , ,,
1079,Jeleniewo,Fur,0,1,1,1,Forest, , , , , , , , ,,
1080,Drobin,0,0,1,1,1,Farmlands, , , , , , , , ,,
1081,Siennica,0,0,1,1,1,Grasslands, , , , , , , , ,,
1082,Goldap,Tourists,0,3,2,3,Woods, , , ,1, , , , ,,
1083,Kowale Oleckie,Pigs,0,1,1,1,Grasslands, , , , , , , , ,,
1084,Fredropol,Chemicals,0,1,1,1,Hills, , , , , , , , ,,
1085,Orly,Horses,0,1,1,1,Grasslands, , , , , , , , ,,
1086,City Of Przemysl,Chemicals,0,13,11,10,Urban,2, , , , , , , ,,
1087,Zurawica,Wheat,0,1,1,2,Grasslands, , , , , , , , ,,
1088,Mircze,Sugar,0,1,1,1,Farmlands, , , , , , , , ,,
1089,Horniec-Zdroj,Sulfur,0,#N/A,#N/A,#N/A,Woods, , , , , , , , ,,
1090,Radymno,Ceramics,0,2,1,2,Farmlands, , , ,1, , , , ,,
1091,Lubaczow,Sulfur,0,1,1,1,Farmlands, , , ,1, , , , ,,
1092,Jerzmanowice-Przegina,Stone,0,#N/A,#N/A,#N/A,Grasslands, , , , , , , , ,,
1093,Sulkowice,Copper,0,2,1,2,Hills, , , , , , , , ,,
1094,Budzow,Salt,0,1,1,1,Highlands, , , , , , , , ,,
1095,Pieszyce,Cloth,0,1,1,1,Farmlands, , , , , , , , ,,
1096,Koszarawa,0,0,1,1,1,Forest, , , , , , , , ,,
1097,City of Jordanow,Wheat,0,1,1,1,Highlands, , , , , , , , ,,
1098,Krosno Centrum,Glass, ,3,2,1,Urban,2, , , , , , , ,,
1099,Chodel,Fruits,0,1,1,1,Farmlands, , , , , , , , ,,
1100,Olszanica,Tourists,0,1,1,1,Highlands, , , , , , , , ,,
1101,Lesko,Tourists,0,1,1,2,Highlands, , , , , , , , ,,
1102,Ustrzyki Dolne,Tourists,0,3,1,3,Hills, , , ,1, , , , ,,
1103,Baligrod,Lumber,0,1,1,1,Forest, , , , , , , , ,,
1104,Slawno,Wheat,0,#N/A,#N/A,#N/A,Grasslands, , , , , , , , ,,
1105,Darlowo,Consumer Goods,0,2,1,1,Grasslands, , , , , , , , ,,
1106,Belzec,Barley,0,1,1,1,Farmlands, , , , , , , , ,,
1107,Rokietnica,Lumber,0,3,1,4,Woods, , , , , , , , ,,
1108,Chlopice,Triticale,0,1,1,1,Farmlands, , , , , , , , ,,
1109,City of Hrubieszow,Sugar,0,2,2,3,Farmlands,1, , , , , , , ,,
1110,Grabica,0,0,1,1,1,Farmlands, , , , , , , , ,,
1111,Bojszowy,Maize,0,1,1,1,Highlands, , , , , , , , ,,
1112,Opatow,0,0,1,1,2,Highlands, , , , , , , , ,,
1113,Leki Szlacheckie,0,0,1,1,1,Woods, , , , , , , , ,,
1114,Checiny,Stone,0,2,1,2,Hills, , , , , , , , ,,
1115,Mniszkow,Tourists,0,1,1,1,Woods, , , , , , , , ,,
1116,Sulejow,Tourists,0,2,1,3,Forest, , , , , , , , ,,
1117,Stzrelce Wielkie,Poultry,0,1,1,1,Grasslands, , , , , , , , ,,
1118,Herby,0,0,1,1,1,Forest, , , , , , , , ,,
1119,Wreczyca Wielka,0,0,2,1,3,Woods, , , , , , , , ,,
1120,Kielce Centrum,Consumer Goods,Software,5,6,6,High Urban,3, , , , , , , ,,
1121,Dobryszyce,0,0,1,1,1,Grasslands, , , , , , , , ,,
1122,kodrlb,0,0,1,1,1,Grasslands, , , , , , , , ,,
1123,Daleszyce,Pigs,Vehicles,2,1,3,Woods, , , , , , , , ,,
1124,Lgota Wielka,0,0,1,1,1,Farmlands, , , , , , , , ,,
1125,Przedborz,0,0,1,1,1,Forest, , , , , , , , ,,
1126,Janow,0,0,#N/A,#N/A,#N/A,Woods, , , , ,1, , , ,,
1127,Rozprza,Paper,0,2,1,2,Grasslands, ,1, , , , , , ,,
1128,Pajeczno,Dairy,0,1,1,2,Grasslands, , , , , , , , ,,
1129,Slawno,Lumber,0,1,1,1,Grasslands, , , , , , , , ,,
1130,Strawczyn,Tourists,0,1,1,2,Hills, , , , , , , , ,,
1131,Piekoszow,Vegetables,0,2,1,3,Grasslands, , , , , , , , ,,
1132,Opoczno,Stone,0,5,6,6,Urban, , , , , , , , ,,
1133,Smykow,Barley,0,1,1,1,Woods, , , , , , , , ,,
1134,Slupia Konecka,Cattle,0,1,1,1,Farmlands, , , , , , , , ,,
1135,Radoszyce,Hemp,0,1,1,1,Farmlands, , , , , , , , ,,
1136,City of Radomsko,Lumber,0,7,10,8,Urban,2, , , , , , , ,,
1137,Falkow,Iron,0,1,1,1,Woods, , , , , , , , ,,
1138,Mstow,0,0,1,1,2,Highlands, , , , , , , , ,,
1139,Zarki,0,0,1,1,1,Woods, , , , , , , , ,,
1140,Klomnice,0,0,1,1,2,Highlands, , , , , , , , ,,
1141,Siewierz,0,0,2,2,2,Woods, , , , , , , , ,,
1142,Kluczewsko,Horses,0,1,1,1,Farmlands, , , , , , , , ,,
1143,Krasocin,Wheat,0,1,1,1,Farmlands, , , , , , , , ,,
1144,Kobiele Wielkie,0,0,1,1,1,Woods, , , , , , , , ,,
1145,Wielgomlyny,0,0,1,1,1,Grasslands, , , , , , , , ,,
1146,Zytno,0,0,1,1,1,Forest, , , , , , , , ,,
1147,Iwkowa,Fruits,0,1,1,1,Farmlands, , , , , , , , ,,
1148,Kozieglowy,0,0,2,1,2,Highlands, , , , , , , , ,,
1149,Slawkow,0,0,1,1,1,Woods, , , , , , , , ,,
1150,Radomsko,0,0,1,1,1,Grasslands, , , , , , , , ,,
1151,Nowy Zmigrod,Cattle,0,1,1,1,Grasslands, , , , , , , , ,,
1152,Poreba,0,0,1,1,1,Forest, , , , , , , , ,,
1153,Zawiercie,0,0,7,9,8,Urban, , , , , , , , ,,
1154,Lazy,0,0,2,1,2,Forest, , , , , , , , ,,
1155,Dabrowa Gornicza Srodmiescie,Consumer Goods, ,4,3,2,Urban,2, , , , , , , ,,
1156,Secemin,Triticale,0,1,1,1,Farmlands, , , , , , , , ,,
1157,Moskorzew,Vodka,0,1,1,1,Woods, , , , , , , , ,,
1158,Jedrzejow,Cloth,0,4,4,5,Farmlands, , , , , , , , ,,
1159,Naglowice,Wheat,0,1,1,1,Farmlands, , , , , , , , ,,
1160,Slupia,Barley,0,1,1,1,Farmlands, , , , , , , , ,,
1161,Koniecpol,0,0,1,1,1,Highlands, , , , , , , , ,,
1162,Wlodowice,0,0,1,1,1,Forest, , , , , , , , ,,
1163,Spytkowice,Maize,0,1,1,1,Hills, , , , , , , , ,,
1164,Lacko,Vodka,0,3,1,3,Highlands, , , , , , , , ,,
1165,Czernichow,Maize,0,2,1,2,Farmlands, , , , , , , , ,,
1166,Alwernia,Stone,0,1,1,2,Forest, , , , , , , , ,,
1167,Bukowsko,Triticale,0,1,1,1,Hills, , , , , , , , ,,
1168,Bystra-Sidzina,Oscypek,0,#N/A,#N/A,#N/A,Mountain, , , , , , , , ,,
1169,Trzebina,Coal,0,4,4,6,Farmlands, , , , , , , , ,,
1170,Kalwaria Zebrzydowska,Lumber,0,3,2,3,Woods, , , , , , , , ,,
1171,Gnojnik,Triticale,0,1,1,1,Farmlands, , , , , , , , ,,
1172,Zagorz,Lumber,0,2,1,2,Forest, , , , , , , , ,,
1173,City of Auschwitz,Tourists,0,6,8,6,Urban,1, , , , , , , ,,
1174,Rajcza,0,0,1,1,1,Forest, , , ,1, , , , ,,
1175,Ujsoly,0,0,1,1,1,Forest, , , , , , , , ,,
1176,Lipnica Wielka,Salt,0,1,1,1,Woods, , , , , , , , ,,
1177,Lapsze Nizne,Fur,0,1,1,1,Grasslands, , , , , , , , ,,
1178,Czorsztyn,Tourists,0,1,1,1,Hills, , , , , , , , ,,
1179,Bialy Dunajec,Oscypek,0,1,1,1,Highlands, , , , , , , , ,,
1180,Zakopane,Tourists,0,5,5,4,Mountain, , , , , , , , ,,
1181,Bukowina Tatrzanska,Oscypek,0,2,1,2,Mountain, , , ,1, , , , ,,
1182,Tymbark,Fruits,0,1,1,1,Farmlands, , , , , , , , ,,
1183,Zegocina,Cattle,0,1,1,1,Hills, , , , , , , , ,,
1184,Dobczyce,Cloth,0,3,2,2,Highlands, , , , , , , , ,,
1185,Wieliczka,Salt,0,11,8,12,Urban, , , , , , , , ,,
1186,City of Bochnia,Salt,0,5,7,5,Urban,1, , , , , , , ,,
1187,Drwina,Lumber,0,1,1,1,Woods, , , , , , , , ,,
1188,Igolomia-Wawrzence,Pigs,0,#N/A,#N/A,#N/A,Farmlands, , , , , , , , ,,
1189,Zielonki,Stone,0,4,2,5,Hills, , , , , , , , ,,
1190,Kocmyrzow-Luborzyca,Wheat,0,#N/A,#N/A,#N/A,Farmlands, , , , , , , , ,,
1191,Nowe Brzesko,Barley,0,1,1,1,Farmlands, , , , , , , , ,,
1192,Rzezawa,Vegetables,0,1,1,2,Farmlands, , , , , , , , ,,
1193,Solina,Tourists,0,1,1,1,Hills, , , , , , , , ,,
1194,Komancza,Mushrooms,0,1,1,1,Forest, , , ,1, , , , ,,
1195,Gmina Sanok,Chemicals,0,3,1,3,Woods, , , , , , , , ,,
1196,Chelmiec,Stone,0,5,3,5,Farmlands, , , , , , , , ,,
1197,Kamionka Wielka,Lumber,0,1,1,1,Hills, , , , , , , , ,,
1198,Nawojowa,Vegetables,0,1,1,1,Hills, , , , , , , , ,,
1199,Grzybow,Iron,0,4,1,4,Urban, , , , , , , , ,,
1200,City of Grzybow,Beer,0,1,1,1,Farmlands, , , , , , , , ,,
1201,Brzesko,Beer,0,5,6,6,Urban, , , , ,1, , , ,,
1202,Mombasa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
1203,Wojaszowka,Stone,0,1,1,1,Hills, , , , , , , , ,,
1204,Frysztak,Ceramics,0,1,1,1,Woods, , , , , , , , ,,
1205,Wielkopole Skrzynskie,Chemicals,0,1,1,1,Highlands, , , , , , , , ,,
1206,Iwierzyce,Horses,0,1,1,1,Farmlands, , , , , , , , ,,
1207,Niwiska,Lumber,0,1,1,1,Forest, , , , , , , , ,,
1208,Zabno,Chemicals,0,2,2,3,Farmlands, , , , , , , , ,,
1209,Radlow,Fish,0,1,1,1,Floodplains, , , , , , , , ,,
1210,Kamien,Pigs,0,#N/A,#N/A,#N/A,Grasslands, , , , , , , , ,,
1211,Jezowe,Metalworking,0,1,1,1,Hills, , , , , , , , ,,
1212,Gora Kalwaria,0,0,4,4,5,Farmlands, , , , , , , , ,,
1213,Opatowiec,Wheat,0,1,1,1,Farmlands, , , , , , , , ,,
1214,Gawluszowice,Triticale,0,1,1,1,Grasslands, , , , , , ,1, ,,
1215,Greboszow,Maize,0,1,1,1,Floodplains, , , , , , ,1, ,,
1216,Czarnocin,Barley,0,#N/A,#N/A,#N/A,Farmlands, , , , , , , , ,,
1217,Dwikozy,Fruits,0,1,1,1,Farmlands, , , , , , ,1, ,,
1218,Proszkowice,Wheat,0,2,1,2,Farmlands, , , , , , , , ,,
1219,Debno,Lumber,0,3,2,3,Woods, , , , , , , , ,,
1220,Olesnica,Stone,0,#N/A,#N/A,#N/A,Farmlands, , , , , , , , ,,
1221,Zlota,Maize,0,1,1,1,Farmlands, , , , , , , , ,,
1222,Solec-Zdroj,Tourists,0,#N/A,#N/A,#N/A,Farmlands, , , , , , , , ,,
1223,Pysznica,Horses,0,1,1,2,Grasslands, , , , , , , , ,,
1224,Zaklikow,Lumber,0,1,1,1,Forest, , , , , , , , ,,
1225,Boleslaw,Vegetables,0,1,1,1,Farmlands, , , , , , , , ,,
1226,Nowy Korczyn,Beer,0,1,1,1,Floodplains, , , , , , ,1, ,,
1227,Samborzec,Fruits,0,1,1,1,Farmlands, , , , , , , , ,,
1228,Koszyce,Wheat,0,1,1,1,Farmlands, , , , , , , , ,,
1229,Stopnica,Maize,0,1,1,1,Grasslands, , , , , , , , ,,
1230,Pacanow,Tourists,0,1,1,1,Farmlands, , , , , , , , ,,
1231,Wieprz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
1232,Kazmierza Wielkia,Tourists,0,2,1,2,Farmlands, , , , , , , , ,,
1233,Slaboszow,Triticale,0,1,1,1,Grasslands, , , , , , , , ,,
1234,Klimantow,Cloth,0,1,1,1,Farmlands, , , , , , , , ,,
1235,Wieprz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
1236,Wieprz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
1237,Wieprz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
1238,Wieprz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
1239,City Of Tomaszow Lubelski,Iron,0,2,4,3,Farmlands, , , , , , , , ,,
1240,Piastow,0,0,4,2,4,Grasslands, , , , , , , , ,,
1241,Raszyn,0,0,5,7,4,Grasslands, , , , , , , , ,,
1242,Cieszanow,Cattle,0,1,1,1,Grasslands, , , , , , , , ,,
1243,Stare Babice,0,0,4,3,4,Grasslands, , , , , , , , ,,
1244,Lomianki,0,0,6,6,5,Urban, , , , , , , , ,,
1245,Wieprz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,
1246,Hrubieszow,Hemp,0,1,1,1,Farmlands, , , , , , , , ,,
1247,Wapno,0,0,1,1,1,Farmlands, , , , , , , , ,,
1248,Bochnia,Salt,0,3,1,3,Farmlands, , , , , , , , ,,
1249,Wloszczowa,Dairy,0,2,4,3,Urban,1, , , , , , , ,,
1250,Odra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
